cdr_id,caller_person_id,receiver_person_id,duration_seconds,call_date
CDR0651,P023,P034,1268,2026-03-13
CDR0652,P112,P110,836,2025-10-25
CDR0653,P110,P123,795,2026-07-06
CDR0654,P002,P010,1103,2026-01-17
CDR0655,P052,P096,38,2026-05-19
CDR0656,P083,P136,400,2025-11-18
CDR0657,P005,P002,1293,2026-03-24
CDR0658,P064,P058,1430,2025-09-30
CDR0659,P089,P080,274,2025-09-30
CDR0660,P027,P099,1040,2026-03-07
CDR0661,P079,P043,143,2025-12-13
CDR0662,P012,P077,605,2026-08-08
CDR0663,P117,P134,1231,2026-02-28
CDR0664,P135,P087,898,2025-11-22
CDR0665,P035,P088,1013,2025-12-15
CDR0666,P092,P049,347,2026-09-02
CDR0667,P104,P005,477,2025-11-09
CDR0668,P058,P034,442,2026-03-16
CDR0669,P006,P130,356,2025-09-19
CDR0670,P032,P094,1466,2026-01-08
CDR0671,P010,P097,1321,2025-12-06
CDR0672,P066,P137,1286,2025-09-28
CDR0673,P013,P028,1348,2025-11-21
CDR0674,P006,P013,1422,2026-04-17
CDR0675,P030,P107,919,2026-06-23
CDR0676,P098,P032,1130,2026-04-22
CDR0677,P065,P122,1447,2025-12-09
CDR0678,P040,P053,1433,2026-02-25
CDR0679,P003,P078,871,2026-02-05
CDR0680,P026,P134,562,2026-08-10
CDR0681,P036,P108,1711,2026-03-28
CDR0682,P027,P131,1482,2026-06-14
CDR0683,P031,P073,243,2026-02-05
CDR0684,P028,P128,416,2026-05-11
CDR0685,P052,P068,1712,2025-11-11
CDR0686,P134,P052,743,2025-12-01
CDR0687,P105,P076,338,2025-10-13
CDR0688,P011,P141,1026,2025-12-10
CDR0689,P054,P124,687,2026-05-08
CDR0690,P061,P001,36,2026-07-04
CDR0691,P023,P029,1720,2025-10-13
CDR0692,P147,P127,315,2026-02-06
CDR0693,P024,P131,163,2025-11-25
CDR0694,P026,P066,1329,2026-03-23
CDR0695,P060,P117,616,2025-12-16
CDR0696,P068,P119,112,2025-12-05
CDR0697,P026,P045,1800,2026-04-21
CDR0698,P011,P075,747,2025-12-26
CDR0699,P081,P110,1522,2025-10-10
CDR0700,P030,P025,1753,2026-07-06
CDR0701,P012,P003,1754,2025-11-02
CDR0702,P036,P044,683,2026-07-11
CDR0703,P092,P113,1283,2026-08-09
CDR0704,P069,P024,773,2026-03-05
CDR0705,P088,P047,243,2025-09-05
CDR0706,P103,P117,566,2026-02-09
CDR0707,P099,P123,1648,2026-05-04
CDR0708,P108,P043,241,2026-05-26
CDR0709,P034,P016,1739,2026-05-07
CDR0710,P041,P027,862,2025-12-29
CDR0711,P124,P146,1399,2026-04-21
CDR0712,P113,P047,1261,2026-05-18
CDR0713,P098,P092,1262,2026-07-31
CDR0714,P008,P034,999,2025-11-10
CDR0715,P125,P029,852,2026-07-08
CDR0716,P113,P012,139,2026-04-27
CDR0717,P067,P081,35,2026-05-15
CDR0718,P135,P148,1492,2026-05-14
CDR0719,P145,P058,1381,2025-09-15
CDR0720,P087,P133,1081,2026-06-27
CDR0721,P025,P111,1365,2026-03-30
CDR0722,P064,P124,718,2025-12-10
CDR0723,P099,P039,1728,2026-04-05
CDR0724,P143,P014,33,2025-11-26
CDR0725,P041,P130,1748,2025-09-04
CDR0726,P121,P127,1790,2025-11-15
CDR0727,P043,P020,1548,2026-07-18
CDR0728,P126,P083,503,2026-01-31
CDR0729,P085,P072,113,2026-05-24
CDR0730,P130,P058,1137,2026-04-09
CDR0731,P097,P104,1683,2025-12-19
CDR0732,P061,P021,950,2025-09-07
CDR0733,P114,P147,927,2025-10-16
CDR0734,P023,P128,925,2026-05-31
CDR0735,P081,P031,1028,2026-01-09
CDR0736,P005,P027,836,2025-11-24
CDR0737,P106,P010,1151,2026-07-08
CDR0738,P141,P001,1701,2026-08-03
CDR0739,P024,P078,1051,2025-12-06
CDR0740,P144,P053,1350,2026-06-25
CDR0741,P117,P088,754,2026-03-12
CDR0742,P014,P058,1739,2025-11-16
CDR0743,P117,P085,1157,2025-11-05
CDR0744,P122,P094,1476,2026-03-06
CDR0745,P116,P030,209,2025-10-10
CDR0746,P057,P001,709,2026-06-08
CDR0747,P091,P075,1131,2026-06-30
CDR0748,P134,P096,1447,2026-05-31
CDR0749,P028,P012,346,2025-12-22
CDR0750,P127,P036,1693,2025-09-22
CDR0751,P105,P028,530,2026-05-04
CDR0752,P051,P049,257,2025-10-06
CDR0753,P101,P056,946,2026-03-29
CDR0754,P049,P087,230,2026-09-01
CDR0755,P107,P012,1306,2026-01-01
CDR0756,P032,P116,946,2026-05-06
CDR0757,P130,P035,1031,2026-01-15
CDR0758,P002,P136,1517,2025-09-23
CDR0759,P013,P142,896,2026-05-19
CDR0760,P150,P124,1051,2026-06-01
CDR0761,P046,P149,365,2026-03-16
CDR0762,P033,P027,803,2026-01-20
CDR0763,P083,P130,797,2026-07-13
CDR0764,P108,P064,570,2026-08-05
CDR0765,P102,P088,612,2026-03-11
CDR0766,P116,P035,292,2026-06-18
CDR0767,P106,P132,622,2026-01-16
CDR0768,P141,P081,1467,2026-06-30
CDR0769,P142,P056,421,2025-09-06
CDR0770,P054,P075,1416,2026-02-09
CDR0771,P089,P034,1464,2026-01-31
CDR0772,P046,P129,1121,2026-03-06
CDR0773,P083,P030,1568,2025-09-20
CDR0774,P091,P144,993,2025-09-26
CDR0775,P150,P147,1376,2026-02-19
CDR0776,P107,P137,595,2025-10-16
CDR0777,P109,P004,1080,2025-10-05
CDR0778,P028,P007,790,2025-12-22
CDR0779,P038,P014,1382,2026-05-01
CDR0780,P015,P052,556,2026-08-25
CDR0781,P042,P074,1409,2026-05-07
CDR0782,P065,P038,1729,2026-01-14
CDR0783,P016,P076,427,2026-01-20
CDR0784,P139,P009,744,2026-01-19
CDR0785,P116,P027,1271,2026-07-24
CDR0786,P144,P058,1530,2025-09-23
CDR0787,P144,P100,496,2026-07-17
CDR0788,P131,P074,1429,2025-09-11
CDR0789,P013,P098,803,2025-11-10
CDR0790,P107,P081,1140,2026-03-18
CDR0791,P014,P004,1533,2026-02-26
CDR0792,P065,P052,1280,2026-02-21
CDR0793,P114,P058,1307,2026-05-10
CDR0794,P095,P140,1522,2026-01-29
CDR0795,P051,P050,612,2026-07-09
CDR0796,P115,P046,1408,2026-02-26
CDR0797,P020,P048,365,2026-05-20
CDR0798,P132,P031,782,2025-10-31
CDR0799,P011,P110,581,2026-07-15
CDR0800,P143,P068,276,2026-07-31
CDR0801,P042,P150,1742,2026-05-09
CDR0802,P066,P002,686,2026-01-15
CDR0803,P120,P040,91,2026-03-16
CDR0804,P040,P083,1232,2026-01-28
CDR0805,P014,P078,1014,2026-08-10
CDR0806,P147,P141,743,2025-12-14
CDR0807,P019,P082,1086,2025-10-23
CDR0808,P057,P048,1076,2026-08-04
CDR0809,P018,P130,336,2026-01-01
CDR0810,P107,P140,1109,2025-09-05
CDR0811,P104,P024,725,2026-03-16
CDR0812,P057,P055,1368,2026-05-10
CDR0813,P085,P093,611,2026-06-28
CDR0814,P056,P136,982,2026-04-22
CDR0815,P144,P003,244,2025-11-28
CDR0816,P089,P115,502,2026-01-05
CDR0817,P063,P011,1407,2025-10-31
CDR0818,P083,P098,1640,2026-03-11
CDR0819,P030,P099,535,2025-11-18
CDR0820,P139,P073,60,2026-04-12
CDR0821,P133,P096,1063,2026-02-21
CDR0822,P131,P115,1006,2026-03-23
CDR0823,P012,P076,1344,2026-04-24
CDR0824,P050,P083,1062,2026-05-20
CDR0825,P022,P025,352,2026-06-20
CDR0826,P138,P137,25,2025-10-20
CDR0827,P017,P054,1382,2026-06-05
CDR0828,P055,P109,1721,2026-05-01
CDR0829,P027,P053,1111,2026-07-17
CDR0830,P112,P019,1539,2025-09-15
CDR0831,P040,P007,950,2025-12-16
CDR0832,P085,P010,189,2026-03-18
CDR0833,P019,P014,374,2026-07-27
CDR0834,P065,P143,154,2026-04-04
CDR0835,P148,P059,539,2026-01-25
CDR0836,P105,P100,933,2026-05-08
CDR0837,P104,P111,657,2025-09-25
CDR0838,P005,P100,1388,2026-02-13
CDR0839,P031,P137,22,2025-12-15
CDR0840,P017,P150,103,2025-10-12
CDR0841,P019,P092,1039,2025-12-03
CDR0842,P028,P075,1621,2025-12-22
CDR0843,P078,P023,586,2026-05-04
CDR0844,P113,P098,819,2025-09-20
CDR0845,P008,P122,330,2025-10-28
CDR0846,P137,P057,289,2026-08-17
CDR0847,P101,P140,614,2025-11-08
CDR0848,P037,P077,1397,2025-12-21
CDR0849,P096,P003,1143,2026-01-03
CDR0850,P143,P037,262,2026-06-18
CDR0851,P011,P002,1182,2026-03-24
CDR0852,P101,P138,1131,2026-05-26
CDR0853,P022,P079,440,2026-08-11
CDR0854,P089,P055,855,2025-10-15
CDR0855,P132,P037,339,2026-08-14
CDR0856,P048,P057,1273,2025-12-13
CDR0857,P065,P050,244,2026-08-27
CDR0858,P047,P146,1755,2025-11-25
CDR0859,P014,P141,954,2026-05-23
CDR0860,P141,P019,605,2026-09-01
CDR0861,P018,P065,211,2026-07-07
CDR0862,P051,P149,1007,2026-04-07
CDR0863,P085,P092,272,2026-08-30
CDR0864,P061,P026,593,2026-06-05
CDR0865,P018,P050,660,2026-04-30
CDR0866,P125,P116,682,2025-12-16
CDR0867,P079,P150,322,2025-10-15
CDR0868,P145,P146,756,2025-10-20
CDR0869,P081,P110,355,2026-05-21
CDR0870,P002,P081,514,2025-12-25
CDR0871,P057,P112,576,2026-03-07
CDR0872,P093,P035,1401,2025-11-10
CDR0873,P085,P123,957,2026-03-16
CDR0874,P115,P092,1596,2026-04-23
CDR0875,P079,P125,1139,2025-12-17
CDR0876,P028,P045,1332,2026-02-12
CDR0877,P021,P072,1768,2026-03-20
CDR0878,P036,P138,412,2026-02-02
CDR0879,P068,P020,1499,2026-08-08
CDR0880,P020,P005,1749,2026-05-15
CDR0881,P130,P008,1674,2025-11-29
CDR0882,P149,P104,1585,2026-05-24
CDR0883,P055,P010,1139,2025-12-14
CDR0884,P067,P140,1115,2026-05-23
CDR0885,P121,P039,759,2026-06-12
CDR0886,P101,P058,1591,2025-09-20
CDR0887,P075,P035,961,2026-08-17
CDR0888,P129,P131,195,2026-07-20
CDR0889,P102,P094,1038,2026-06-02
CDR0890,P003,P062,1746,2026-08-23
CDR0891,P043,P132,297,2025-12-23
CDR0892,P115,P041,376,2026-03-26
CDR0893,P145,P038,1517,2026-05-21
CDR0894,P124,P092,92,2026-04-01
CDR0895,P057,P125,484,2026-02-25
CDR0896,P017,P068,766,2025-09-16
CDR0897,P060,P011,1379,2026-03-25
CDR0898,P053,P133,1630,2025-09-25
CDR0899,P093,P100,971,2026-05-16
CDR0900,P117,P012,91,2026-01-12
CDR0901,P083,P027,1451,2026-03-19
CDR0902,P134,P071,1719,2026-08-15
CDR0903,P068,P149,1124,2026-04-12
CDR0904,P146,P045,781,2026-05-02
CDR0905,P097,P094,1213,2025-11-12
CDR0906,P020,P133,525,2026-04-18
CDR0907,P097,P058,1067,2026-08-16
CDR0908,P104,P091,1683,2026-02-10
CDR0909,P089,P125,1633,2025-11-01
CDR0910,P124,P002,1037,2025-12-10
CDR0911,P036,P113,349,2026-04-01
CDR0912,P059,P020,1063,2025-09-26
CDR0913,P072,P055,317,2026-07-13
CDR0914,P048,P041,751,2026-07-16
CDR0915,P031,P059,859,2025-10-23
CDR0916,P085,P030,996,2025-10-31
CDR0917,P123,P054,1219,2025-10-23
CDR0918,P042,P106,55,2025-10-19
CDR0919,P063,P012,271,2025-11-23
CDR0920,P147,P042,285,2026-08-29
CDR0921,P132,P011,1182,2025-10-08
CDR0922,P038,P015,350,2026-03-24
CDR0923,P067,P047,1068,2026-09-03
CDR0924,P104,P145,1315,2026-07-20
CDR0925,P005,P073,185,2025-10-09
CDR0926,P056,P115,1252,2026-07-10
CDR0927,P121,P124,359,2025-11-05
CDR0928,P057,P106,1240,2025-10-08
CDR0929,P037,P150,1690,2026-03-20
CDR0930,P047,P131,551,2025-12-15
CDR0931,P043,P088,938,2025-12-03
CDR0932,P018,P059,784,2026-06-28
CDR0933,P099,P034,232,2026-02-26
CDR0934,P005,P052,1080,2026-02-27
CDR0935,P130,P108,1702,2026-03-21
CDR0936,P039,P025,373,2026-06-29
CDR0937,P122,P010,1615,2025-12-22
CDR0938,P137,P129,1550,2026-02-04
CDR0939,P031,P024,997,2025-09-18
CDR0940,P034,P139,1704,2026-05-16
CDR0941,P001,P111,1079,2026-04-18
CDR0942,P108,P095,98,2025-09-03
CDR0943,P136,P110,479,2026-05-22
CDR0944,P124,P098,727,2026-05-20
CDR0945,P148,P026,881,2026-01-04
CDR0946,P035,P066,987,2025-12-16
CDR0947,P060,P022,590,2026-04-25
CDR0948,P140,P105,537,2026-03-26
CDR0949,P049,P002,1462,2026-08-09
CDR0950,P002,P148,1080,2026-03-12
CDR0951,P031,P134,24,2026-06-26
CDR0952,P097,P053,1418,2026-03-24
CDR0953,P081,P105,751,2025-11-02
CDR0954,P028,P040,882,2025-11-22
CDR0955,P150,P065,545,2026-07-13
CDR0956,P138,P109,1166,2026-08-01
CDR0957,P094,P071,1403,2025-11-02
CDR0958,P102,P053,856,2026-04-09
CDR0959,P142,P143,998,2026-03-11
CDR0960,P046,P095,1155,2025-10-06
CDR0961,P143,P124,529,2026-08-05
CDR0962,P079,P148,715,2026-04-16
CDR0963,P102,P036,1761,2025-09-15
CDR0964,P031,P059,924,2025-12-22
CDR0965,P042,P026,449,2025-11-02
CDR0966,P131,P103,1619,2026-05-18
CDR0967,P087,P141,1267,2026-08-30
CDR0968,P014,P042,806,2026-03-18
CDR0969,P002,P024,1696,2026-06-12
CDR0970,P038,P121,1239,2026-06-04
CDR0971,P112,P023,141,2026-08-20
CDR0972,P068,P057,769,2026-04-22
CDR0973,P021,P010,1493,2026-08-31
CDR0974,P099,P103,1267,2025-10-12
CDR0975,P134,P074,1467,2026-01-23
CDR0976,P015,P045,1321,2026-01-10
CDR0977,P127,P113,31,2026-03-03
CDR0978,P052,P133,595,2026-06-29
CDR0979,P050,P009,1615,2026-05-27
CDR0980,P131,P133,1440,2026-05-22
CDR0981,P060,P044,1390,2026-01-09
CDR0982,P010,P093,499,2026-07-04
CDR0983,P001,P041,187,2026-01-19
CDR0984,P071,P103,733,2026-04-04
CDR0985,P102,P104,1210,2025-12-07
CDR0986,P052,P133,41,2026-04-01
CDR0987,P018,P024,1135,2025-11-03
CDR0988,P073,P144,1203,2026-03-18
CDR0989,P090,P089,1680,2026-01-06
CDR0990,P071,P058,1251,2026-03-25
CDR0991,P050,P117,837,2026-07-08
CDR0992,P148,P002,544,2025-11-11
CDR0993,P045,P105,1046,2026-04-03
CDR0994,P028,P144,158,2025-12-16
CDR0995,P129,P076,706,2025-12-21
CDR0996,P030,P132,537,2025-12-10
CDR0997,P138,P148,522,2026-08-05
CDR0998,P114,P097,1163,2026-06-12
CDR0999,P124,P063,1561,2026-03-01
CDR1000,P087,P118,1405,2025-09-05
CDR1001,P118,P008,997,2025-12-21
CDR1002,P030,P067,148,2026-06-07
CDR1003,P098,P057,1396,2026-01-10
CDR1004,P059,P081,854,2025-11-08
CDR1005,P091,P133,1107,2025-10-25
CDR1006,P003,P068,518,2026-05-10
CDR1007,P074,P024,827,2026-04-03
CDR1008,P088,P020,1145,2026-05-18
CDR1009,P046,P122,652,2026-07-01
CDR1010,P091,P056,1184,2026-05-09
CDR1011,P069,P047,1538,2026-07-08
CDR1012,P049,P128,1519,2025-10-15
CDR1013,P052,P061,1516,2025-12-18
CDR1014,P062,P068,433,2026-01-15
CDR1015,P059,P052,1719,2026-08-07
CDR1016,P064,P092,329,2026-06-05
CDR1017,P028,P031,170,2026-01-29
CDR1018,P127,P002,1575,2026-02-21
CDR1019,P139,P011,1746,2025-12-07
CDR1020,P124,P096,1281,2026-01-01
CDR1021,P081,P127,1186,2025-11-15
CDR1022,P071,P126,384,2026-05-17
CDR1023,P131,P072,824,2026-04-19
CDR1024,P057,P148,272,2026-08-10
CDR1025,P014,P135,1646,2026-09-03
CDR1026,P109,P123,1117,2026-08-26
CDR1027,P009,P129,721,2026-01-01
CDR1028,P101,P045,946,2026-03-15
CDR1029,P031,P133,952,2026-07-22
CDR1030,P081,P003,34,2025-11-21
CDR1031,P054,P098,1199,2025-10-06
CDR1032,P026,P084,750,2026-03-03
CDR1033,P067,P048,1133,2026-01-09
CDR1034,P068,P061,561,2026-02-23
CDR1035,P121,P088,759,2026-08-06
CDR1036,P048,P128,878,2026-08-15
CDR1037,P054,P108,1445,2026-02-19
CDR1038,P096,P094,1759,2025-09-23
CDR1039,P103,P072,933,2026-05-15
CDR1040,P047,P147,278,2026-07-19
CDR1041,P148,P059,1677,2026-04-29
CDR1042,P026,P070,1656,2026-02-12
CDR1043,P061,P143,895,2025-10-02
CDR1044,P098,P051,308,2026-07-21
CDR1045,P039,P122,1660,2026-01-03
CDR1046,P003,P046,873,2026-07-06
CDR1047,P128,P035,1749,2026-08-18
CDR1048,P133,P137,1485,2026-08-25
CDR1049,P081,P125,624,2026-04-19
CDR1050,P065,P144,1768,2026-02-02
CDR1051,P146,P013,825,2025-09-22
CDR1052,P026,P042,132,2026-01-24
CDR1053,P056,P066,985,2026-03-08
CDR1054,P025,P116,1534,2025-10-24
CDR1055,P086,P067,749,2026-04-16
CDR1056,P093,P144,1151,2025-11-20
CDR1057,P066,P089,50,2025-12-26
CDR1058,P106,P032,729,2026-02-04
CDR1059,P051,P148,1189,2025-12-10
CDR1060,P138,P045,1608,2026-01-17
CDR1061,P073,P091,675,2026-08-24
CDR1062,P131,P125,1596,2026-01-07
CDR1063,P115,P021,790,2026-07-23
CDR1064,P074,P119,1303,2025-09-13
CDR1065,P038,P043,1321,2026-05-25
CDR1066,P087,P108,1302,2026-05-27
CDR1067,P147,P104,1748,2025-09-22
CDR1068,P019,P021,341,2026-06-30
CDR1069,P088,P059,652,2026-03-23
CDR1070,P082,P075,1464,2026-04-17
CDR1071,P069,P102,565,2025-09-05
CDR1072,P114,P093,1541,2026-05-06
CDR1073,P134,P116,857,2026-08-12
CDR1074,P043,P048,1759,2025-12-28
CDR1075,P006,P033,1500,2026-01-26
CDR1076,P061,P065,1533,2025-11-05
CDR1077,P021,P054,351,2026-02-14
CDR1078,P102,P027,205,2026-05-28
CDR1079,P017,P122,1133,2025-10-12
CDR1080,P014,P007,1588,2026-08-30
CDR1081,P102,P135,1576,2026-01-19
CDR1082,P022,P027,547,2026-05-21
CDR1083,P040,P022,1351,2026-02-25
CDR1084,P100,P080,479,2025-12-16
CDR1085,P064,P073,917,2025-12-22
CDR1086,P033,P034,1088,2025-11-08
CDR1087,P044,P008,81,2025-11-16
CDR1088,P092,P084,1779,2026-05-26
CDR1089,P122,P120,1793,2026-06-18
CDR1090,P139,P070,1133,2026-08-12
CDR1091,P114,P035,1438,2026-03-10
CDR1092,P139,P046,1220,2025-09-15
CDR1093,P117,P145,900,2025-09-29
CDR1094,P135,P137,644,2025-12-06
CDR1095,P089,P124,1115,2026-01-23
CDR1096,P059,P023,914,2026-06-04
CDR1097,P079,P094,854,2025-11-17
CDR1098,P067,P040,631,2026-01-17
CDR1099,P003,P001,1081,2025-10-13
CDR1100,P035,P089,597,2025-09-06
CDR1101,P121,P137,27,2026-08-16
CDR1102,P126,P123,623,2025-12-15
CDR1103,P003,P111,1644,2026-04-30
CDR1104,P075,P060,1641,2026-01-04
CDR1105,P002,P141,775,2025-09-25
CDR1106,P049,P106,1158,2025-11-09
CDR1107,P112,P102,521,2026-08-06
CDR1108,P042,P100,1706,2026-06-05
CDR1109,P097,P057,548,2026-06-14
CDR1110,P021,P109,1290,2026-06-04
CDR1111,P062,P133,1575,2025-10-09
CDR1112,P070,P073,1338,2026-02-25
CDR1113,P137,P069,855,2026-02-07
CDR1114,P049,P018,383,2026-05-21
CDR1115,P035,P075,236,2026-05-06
CDR1116,P117,P116,567,2026-07-31
CDR1117,P126,P049,666,2025-12-29
CDR1118,P005,P039,111,2026-03-29
CDR1119,P137,P006,390,2025-10-28
CDR1120,P027,P073,561,2025-11-07
CDR1121,P033,P113,1499,2026-06-25
CDR1122,P003,P060,194,2026-02-17
CDR1123,P039,P004,1020,2026-02-06
CDR1124,P056,P088,870,2026-03-29
CDR1125,P080,P128,770,2026-08-09
CDR1126,P119,P009,686,2025-10-15
CDR1127,P021,P038,124,2026-01-14
CDR1128,P069,P101,156,2026-07-29
CDR1129,P140,P121,381,2026-02-12
CDR1130,P050,P065,1683,2026-04-01
CDR1131,P098,P004,259,2025-10-14
CDR1132,P064,P099,1589,2025-12-29
CDR1133,P114,P064,1520,2025-12-03
CDR1134,P009,P051,953,2026-07-16
CDR1135,P025,P134,1373,2025-12-29
CDR1136,P054,P122,806,2026-05-16
CDR1137,P080,P083,334,2026-02-08
CDR1138,P011,P141,1076,2026-01-20
CDR1139,P032,P065,995,2025-11-07
CDR1140,P077,P051,748,2026-06-22
CDR1141,P014,P056,241,2025-09-30
CDR1142,P061,P112,674,2025-09-04
CDR1143,P004,P043,1636,2026-01-27
CDR1144,P071,P150,255,2026-07-13
CDR1145,P102,P063,28,2026-04-27
CDR1146,P011,P149,1614,2025-12-05
CDR1147,P122,P040,770,2025-11-19
CDR1148,P023,P064,332,2026-05-25
CDR1149,P128,P024,1414,2026-07-07
CDR1150,P087,P016,132,2025-10-23
CDR1151,P092,P040,1446,2026-06-03
CDR1152,P138,P028,267,2025-12-26
CDR1153,P125,P060,658,2026-01-13
CDR1154,P143,P089,1659,2026-01-16
CDR1155,P113,P050,53,2026-02-04
CDR1156,P097,P092,1493,2026-05-16
CDR1157,P035,P065,90,2026-05-03
CDR1158,P125,P113,1154,2026-03-27
CDR1159,P076,P139,1437,2026-05-07
CDR1160,P126,P049,1170,2026-08-26
CDR1161,P048,P140,722,2026-08-23
CDR1162,P083,P120,573,2026-02-15
CDR1163,P142,P042,151,2026-08-26
CDR1164,P136,P040,930,2026-06-07
CDR1165,P076,P068,1119,2026-04-04
CDR1166,P094,P117,11,2025-09-28
CDR1167,P130,P098,1512,2026-08-17
CDR1168,P048,P005,1279,2026-06-13
CDR1169,P094,P062,666,2026-05-12
CDR1170,P017,P138,1687,2026-04-21
CDR1171,P100,P049,1083,2025-09-19
CDR1172,P128,P142,325,2025-09-25
CDR1173,P073,P083,849,2025-10-26
CDR1174,P083,P029,207,2026-03-22
CDR1175,P134,P018,99,2025-11-20
CDR1176,P034,P046,1798,2026-01-02
CDR1177,P009,P052,229,2026-02-14
CDR1178,P125,P050,212,2026-05-23
CDR1179,P009,P147,1324,2025-10-11
CDR1180,P100,P126,1086,2026-08-29
CDR1181,P066,P013,760,2026-01-21
CDR1182,P057,P019,36,2026-08-16
CDR1183,P054,P126,1714,2026-01-16
CDR1184,P021,P120,1650,2025-10-03
CDR1185,P016,P093,1152,2026-03-26
CDR1186,P107,P095,1636,2026-05-17
CDR1187,P015,P069,1093,2026-06-05
CDR1188,P011,P019,1718,2026-09-01
CDR1189,P078,P020,452,2026-08-12
CDR1190,P133,P025,217,2026-02-19
CDR1191,P060,P137,799,2026-06-01
CDR1192,P049,P050,1087,2025-12-06
CDR1193,P064,P146,1290,2025-12-27
CDR1194,P046,P143,1544,2026-04-01
CDR1195,P143,P107,1538,2026-06-15
CDR1196,P028,P148,743,2026-02-02
CDR1197,P118,P110,223,2025-11-27
CDR1198,P043,P047,1136,2026-03-29
CDR1199,P103,P130,701,2025-09-15
CDR1200,P041,P137,1238,2026-08-23
CDR1201,P114,P091,655,2025-11-05
CDR1202,P141,P084,1740,2025-09-19
CDR1203,P096,P106,1575,2026-04-28
CDR1204,P111,P083,1256,2026-01-22
CDR1205,P062,P145,1127,2026-02-26
CDR1206,P055,P097,1578,2026-07-22
CDR1207,P141,P066,747,2026-01-10
CDR1208,P116,P115,823,2025-12-24
CDR1209,P001,P009,592,2026-05-05
CDR1210,P005,P133,286,2026-02-15
CDR1211,P078,P002,625,2026-03-06
CDR1212,P057,P055,1762,2026-06-22
CDR1213,P081,P006,1590,2025-10-26
CDR1214,P071,P142,1057,2025-09-13
CDR1215,P143,P147,1180,2025-09-21
CDR1216,P040,P025,87,2026-06-05
CDR1217,P118,P092,329,2025-12-29
CDR1218,P036,P068,761,2025-11-05
CDR1219,P150,P064,487,2026-03-11
CDR1220,P066,P077,198,2026-06-15
CDR1221,P147,P103,1175,2026-07-09
CDR1222,P056,P020,1491,2025-09-09
CDR1223,P084,P124,364,2026-08-12
CDR1224,P125,P148,1688,2025-09-16
CDR1225,P025,P077,86,2025-10-02
CDR1226,P148,P098,170,2026-06-12
CDR1227,P015,P086,722,2025-10-27
CDR1228,P112,P107,1787,2026-06-19
CDR1229,P031,P059,1541,2026-03-24
CDR1230,P003,P098,120,2026-04-21
CDR1231,P079,P135,94,2025-09-18
CDR1232,P082,P139,1166,2026-02-06
CDR1233,P039,P084,1038,2025-11-16
CDR1234,P057,P040,113,2026-04-21
CDR1235,P101,P115,1551,2026-07-12
CDR1236,P148,P130,194,2026-04-07
CDR1237,P057,P111,603,2026-08-28
CDR1238,P101,P038,280,2025-12-05
CDR1239,P087,P022,984,2026-01-12
CDR1240,P147,P013,1132,2026-05-25
CDR1241,P103,P068,184,2026-03-11
CDR1242,P103,P129,899,2026-01-26
CDR1243,P034,P035,994,2026-04-09
CDR1244,P144,P051,1009,2025-12-20
CDR1245,P102,P147,411,2026-08-23
CDR1246,P144,P135,514,2025-10-24
CDR1247,P063,P019,555,2026-05-31
CDR1248,P111,P083,1412,2025-11-15
CDR1249,P148,P023,240,2026-08-24
CDR1250,P106,P109,758,2026-03-08
CDR1251,P090,P049,666,2026-03-12
CDR1252,P089,P007,1586,2025-09-13
CDR1253,P079,P044,726,2026-07-12
CDR1254,P114,P038,912,2025-12-03
CDR1255,P012,P060,418,2025-11-04
CDR1256,P096,P040,1561,2025-09-20
CDR1257,P022,P029,1524,2025-10-10
CDR1258,P014,P063,1281,2026-05-02
CDR1259,P038,P074,38,2026-08-08
CDR1260,P088,P029,634,2026-01-15
CDR1261,P116,P121,56,2025-11-03
CDR1262,P085,P054,1525,2025-10-14
CDR1263,P138,P055,427,2025-09-07
CDR1264,P140,P134,1546,2026-04-15
CDR1265,P067,P141,999,2026-06-12
CDR1266,P037,P005,781,2025-10-06
CDR1267,P150,P135,99,2026-08-04
CDR1268,P066,P044,133,2026-05-21
CDR1269,P073,P052,1626,2026-05-16
CDR1270,P070,P014,962,2026-07-18
CDR1271,P003,P018,805,2026-05-08
CDR1272,P070,P093,1780,2025-11-21
CDR1273,P028,P005,609,2026-02-10
CDR1274,P099,P060,789,2026-01-23
CDR1275,P131,P026,656,2026-05-01
CDR1276,P125,P137,190,2026-05-03
CDR1277,P048,P051,1035,2026-03-30
CDR1278,P118,P144,1469,2025-10-11
CDR1279,P006,P011,516,2026-08-31
CDR1280,P136,P079,693,2026-04-19
CDR1281,P126,P101,1534,2025-10-30
CDR1282,P041,P005,720,2026-05-19
CDR1283,P091,P078,493,2026-08-07
CDR1284,P129,P071,1672,2026-01-05
CDR1285,P016,P066,802,2025-11-17
CDR1286,P008,P143,583,2026-05-22
CDR1287,P058,P039,709,2026-07-21
CDR1288,P101,P036,189,2026-03-12
CDR1289,P098,P134,1398,2026-08-17
CDR1290,P059,P107,502,2025-12-15
CDR1291,P147,P040,883,2025-11-13
CDR1292,P080,P085,929,2026-08-11
CDR1293,P139,P034,433,2026-06-23
CDR1294,P036,P149,1118,2026-08-29
CDR1295,P052,P036,642,2025-10-09
CDR1296,P135,P035,890,2026-07-30
CDR1297,P038,P145,333,2026-05-14
CDR1298,P082,P018,1151,2026-08-28
CDR1299,P137,P031,387,2025-12-29
CDR1300,P082,P038,1499,2025-12-04
CDR1301,P008,P082,857,2025-12-17
